tstamp	src_city_place	src_city_user	src_city	dest_city	tweet	sentiment
Tue Jul 08 01:17:34 +0000 2014	None	u'Cleveland Browns Town Ohio '	cleveland	cleveland	u'RT @CLEsportsTalk: According to an NBA source, LeBron would wear the number 32 if he returned to Cleveland.'	0.0
Tue Jul 08 01:17:34 +0000 2014	None	None	None	None	u'http://t.co/rcvVDc8RU1 baby :('	-0.75
Tue Jul 08 01:17:34 +0000 2014	None	u'Miami/Fort Lauderdale Area'	miami	new york	u"RT @dkberman: BREAKING: New York's 48-store CRUMBS cupcake empire is to close and cease all operations. http://t.co/XFQf0mUDoY"	0.136363636364
Tue Jul 08 01:17:34 +0000 2014	None	u'\xdcT: 41.769683,-87.845665'	None	chicago	u'RT @ChicagoBreaking: Emanuel task force: Raise Chicago minimum wage to $13 an hour by 2018 http://t.co/DC0HvrJijU'	0.0
Tue Jul 08 01:17:34 +0000 2014	None	None	None	los angeles	u'RT @El_Komander1: \xa1Todos est\xe1n invitados al Nokia Theatre de Los Angeles este 19 de Julio! http://t.co/s1CPS8uA7U'	0.0
Tue Jul 08 01:17:34 +0000 2014	None	u'Argentina'	None	mesa	u'RT @wersogay: QUERO GIFS DA MARINA IMITANDO UM PINGUIM NA MINHA MESA EM 5 SEGUNDOS VAMO'	0.0
Tue Jul 08 01:17:34 +0000 2014	None	u'venezuela'	None	san francisco	u'RT @Baneskin: Gente que hace Escuela: Fundaci\xf3n Valle de San Francisco (+video) http://t.co/OnIA3JNZgq'	0.0
Tue Jul 08 01:17:34 +0000 2014	None	None	None	new york	u".@robertAbooey RT @dkberman BREAKING: New York's 48-store CRUMBS cupcake empire is to close and cease all operations. http://t.co/kSLw6DPvFP"	0.136363636364
Tue Jul 08 01:17:34 +0000 2014	None	u'M\xe9xico\xb0\xb0\xb0\xb0\xb0'	None	None	u'RT @Carlos_dealva: @gadiel_jimenez jajaja me hiciste el dia, pero ya no vendo avon, lo de hoy es price shoes jajaja luego te paso el catalo\u2026'	0.0
Tue Jul 08 01:17:34 +0000 2014	None	u'Bizerkeley, CA'	None	chicago	u'RT @JCULLI: Ya rap music is definitely influencing a lot of these shootings in Chicago. Shit is retarded. You gotta understand teens is sho\u2026'	-0.1
Tue Jul 08 01:17:34 +0000 2014	None	u'Fresno. CA Alumni Apache'	fresno	fresno	u'RT @jpsalinthone: @HiddenCash had Fresno like http://t.co/sXQ5d6qDWO'	0.0
Tue Jul 08 01:17:35 +0000 2014	None	None	None	miami	u'03/07/2014 \nJustin in Miami with his fans, trouble for the party in LA\nJustin a Miami con i suoi fan, guai per i party a LA'	-0.2
Tue Jul 08 01:17:35 +0000 2014	None	u'817 Texas'	None	miami	u'@cole_mentzel no way Miami can get him now'	0.0
Tue Jul 08 01:17:35 +0000 2014	None	None	None	san francisco	u"RT @CapitalOne: You always wanted to see San Francisco Bay, and with Venture's #YesMiles, you can fly any day. http://t.co/pr70NTjZAY"	0.8
Tue Jul 08 01:17:35 +0000 2014	None	u'Espa\xf1a'	None	new york	u'LA IMAGEN VINTAGE DE HOY: New York City. Sammy Davis Jr.  http://t.co/CRdzXVSD0a'	0.136363636364
Tue Jul 08 01:17:35 +0000 2014	None	None	None	austin	u"Austin is taking forever to reply and I'm getting angry \U0001f624"	-0.5
Tue Jul 08 01:17:35 +0000 2014	None	u'North Carolina, USA'	None	denver	u"RT @Matt9Duchene: See it's official now so a big welcome to Denver to Max Noreau! He and I won a Spengler Cup, played in Ambri-Piotta toget\u2026"	0.5
Tue Jul 08 01:17:35 +0000 2014	None	None	None	columbia	u'Columbia has scored the most goals from a left foot thus far in the World Cup, with 8.\n#NoRight'	0.2
Tue Jul 08 01:17:35 +0000 2014	None	u'Rock Hill, SC'	None	charlotte	u'RT @RockHillSCCity: Map showing outage out of Charlotte Ave substation to about 1300 customers. Checking on it. @GrouchosRKH @subguy'	0.0
Tue Jul 08 01:17:35 +0000 2014	None	u'San Diego, CA'	san diego	seattle	u'RT @fakedansavage: Getting legally high in Seattle tomorrow? @BJeanClement has some food recommendations for your high dining pleasure: htt\u2026'	0.16
Tue Jul 08 01:17:35 +0000 2014	None	u'USA'	None	jackson	u'RT @fidofinder: Lost dog, Ruppy, in Jacksonville, FL US (32277) http://t.co/dqcXKGIjkh #lostdog'	0.0
Tue Jul 08 01:17:35 +0000 2014	None	u'At The Top '	None	columbus	u'Columbus Short Get\u2019s Arrested over The Fourth of July\xa0Weekend. http://t.co/VtUq2OC0EJ'	0.0
Tue Jul 08 01:17:35 +0000 2014	None	u'brooklyn '	None	portland	u'I want to move to Portland'	0.0
Tue Jul 08 01:17:35 +0000 2014	None	u'Entre Rios'	None	miami	u'Con lo qie les pagaron para ir ahi comen 8 a\xf1os avanandose las bolas es miami'	0.0
Tue Jul 08 01:17:35 +0000 2014	None	None	None	san diego	u'RT @LutzElle: Awesome!! @YECdotcom: VIKINGS Returns to Raid San Diego Comic-Con 2014: @HistoryVikings http://t.co/E09e7iFMkF'	1.0
Tue Jul 08 01:17:35 +0000 2014	None	u'Philadelphia / Aruba'	philadelphia	baltimore	u'Beyonc\xe9 is not wearing her wedding ring in Baltimore. Oh boy. #ticketsales'	0.0
Tue Jul 08 01:17:35 +0000 2014	None	u'SOUTH MEXICO CITY'	None	new york	u'RT @nokillcoalition: New York  PLEASE SHARE TO SAVE http://t.co/r9ZvLX7wAy'	0.136363636364
Tue Jul 08 01:17:35 +0000 2014	None	None	None	None	u'\xbfCrees en el amor a primera vista?, o paso otra vez?\u263a\u263a.'	0.0
Tue Jul 08 01:17:35 +0000 2014	None	u'St. Louis, MO'	st. louis	st. louis	u'#Cardinals Tweets: Pulling the tarp in St. Louis. Delay started at 8:14 pm Central Time http://t.co/ORX3vySqrd #MLB http://t.co/4hcbYnuIqc'	0.0
Tue Jul 08 01:17:35 +0000 2014	None	u'Chicago, IL'	chicago	jackson	u"I'm shocked--SHOCKED-- that Edwin Jackson gave up the go-ahead run as soon as the Cubs tied the game."	-0.4
Tue Jul 08 01:17:35 +0000 2014	None	u'Bangi'	None	salem	u'Sambal Ikan Bilis Kering Riqzmie by Salem Abd Khalid on Prezi http://t.co/tElmMu3whb'	0.0
Tue Jul 08 01:17:35 +0000 2014	None	None	None	olympia	u"RT @Nabila75020: @KarismatikKenza 28 ans 5 albums Disque d'or/Platine/Double platine des tourn\xe9es a guichet ferm\xe9, 1 Olympia, 2 Z\xe9nith de P\u2026"	0.0
Tue Jul 08 01:17:35 +0000 2014	None	None	None	washington	u'@imaginator1dx anna would you ever come to Washington or Oregon?\U0001f60d'	0.0
Tue Jul 08 01:17:35 +0000 2014	None	u'YO WET TWITTER FANTASY '	None	detroit	u'\U0001f51d\U0001f6b6#BOSS_UP R #BOW_DOWN #ROLL W/DA FN #FINE$T&gt; @SkandoaCrook @CNiKKi_Moe @DramaFreeDiva @Jobstown12345 #DETROIT  #TFB\U0001f4af #RT2GAIN_FAST \U0001f51d\U0001f6b6"'	0.0
Tue Jul 08 01:17:35 +0000 2014	None	None	None	columbus	u'RT @NYDailyNews: Do you know this cutie? Her ma left her at the Columbus Circle station &amp; jumped on the subway. http://t.co/j1ICf4DdUt http\u2026'	0.0
Tue Jul 08 01:17:35 +0000 2014	None	u'Los Angeles'	los angeles	san diego	u"Here's a highlight video i created from a random week of camp I did in San Diego. http://t.co/57HFOov5Vs"	-0.5
Tue Jul 08 01:17:36 +0000 2014	None	None	None	los angeles	u'\u201c@balanceandcomp: Los Angeles with @ladisputeband on 8/25 at El Rey Theatre. Tickets on sale this Friday (7/11). http://t.co/HFNvn8t174\u201d \U0001f631\U0001f631\U0001f631'	0.0
Tue Jul 08 01:17:36 +0000 2014	None	u'Maryland'	None	dallas	u'RT @ussoccer_acad: PDA joins Bethesda-Olney and FC Dallas in LA for the #AcademyFinals. #OpportunityKnocks http://t.co/aowCcAYTy7'	0.0
Tue Jul 08 01:17:36 +0000 2014	None	u'Denver, CO'	denver	denver	u'RT @MikeNelson247: Clouds building over #Denver as storms begin to form! @DenverChannel @stormshieldapp #cowx should get busy soon! http://\u2026'	0.125
